"","time_horizon","total_wildland_area","houses_per_ha","house_price","agric_land_price","fire_fight_cost_per_ha","salvage_logging_cost_per_ha","output_1"
"670",36,165253,10.448365113046,43090.2704525468,5401.27354363961,662.797671494117,1784.43553629713,-294693111.358242
"671",36,165253,8.78997422456741,21298.6397644893,11067.398862941,1556.19065205477,1999.2065492053,-330183142.057868
"672",36,165253,7.61959297182038,37494.9663523053,18793.6517020553,80.2551491150336,1983.55913450554,-327415652.422907
"673",36,165253,17.2727403851692,41837.0062777463,8632.75143708632,1330.78436535248,1940.56756128982,-317926046.034133
"674",36,165253,14.4616517250426,30172.2534948046,7482.88023352214,307.191117887853,1865.60192738005,-308249179.725314
"675",36,165253,0.947446960140951,108604.041568189,8674.0831323034,185.01993371783,1946.69146834527,-321561900.967499
"676",36,165253,1.31687095176894,28934.6436700163,11512.9019679967,170.625144437076,1895.15217864583,-313004955.993908
"677",36,165253,4.43125824450981,31578.3398085225,11253.0388395382,1777.10178240882,1979.85420106402,-325752360.424766
"678",36,165253,18.7221011421876,33048.4313323286,13890.1076369898,45.2379108360424,2114.80905814118,-346246746.845568
"679",36,165253,13.7981075553223,50979.358178863,6663.11365119964,152.112797685453,1904.56171058067,-314020958.90526
"680",36,165253,0.500097335851751,26270.1062187206,13443.0917737742,163.368862338495,1943.78554387824,-321202882.436253
"681",36,165253,20.5057229570113,7880.6077731714,13522.7791778544,1147.5033825307,1834.65285519489,-303149900.784997
"682",36,165253,19.9979795029387,42625.3497905697,7846.64671345613,225.113984340092,1933.48714434003,-318792776.526608
"683",36,165253,6.15447568944655,25096.9472881657,14233.88769549,1050.02534868453,1804.48387246159,-298140808.039053
"684",36,165253,10.96676711787,62975.2035938438,2256.9239386882,439.022854933601,1770.41797299494,-292566677.935531
"685",36,165253,18.4090025441721,114089.436260997,14618.1097913958,1902.22105581146,1989.4076908184,-326620371.810441
"686",36,165253,13.051540449867,89710.7516230436,12733.3154007692,647.622314114154,2111.52553515059,-348925816.550417
"687",36,165253,19.3412112037418,26999.3446930326,7479.67880864051,17.4723612320855,1863.39136209164,-306930613.209663
"688",36,165253,4.56072685208637,46785.3658479759,10174.2516034913,962.179216933177,1927.5738601939,-318537300.047516
"689",36,165253,5.26154790818691,31137.5025143388,6387.84171910856,689.288751348429,1879.65549525431,-310618467.669834
"690",36,165253,8.12447256394662,24892.34243738,11578.8380811944,1227.59841584258,1928.58270742804,-318457311.409939
"691",36,165253,0.22897730844561,70142.5480952044,9831.53506812987,938.238001803148,1660.02273948761,-274289476.539867
"692",36,165253,15.4330497547751,60162.7271174458,11818.5719282217,150.283746202259,1956.78675778168,-322503157.366689
"693",36,165253,20.1406699161511,23878.7430383178,9010.61000700219,1230.17939483485,1986.94355288525,-327424712.808986
"694",36,165253,6.07923359829001,27359.0266353662,3674.91967258696,800.466131310364,1703.16307476296,-281449406.992007
"695",36,165253,10.2077263254207,47485.9274358292,5900.02584037289,1628.08914498139,1872.86000433109,-309495019.235171
"696",36,165253,8.61709393293131,13325.8950004275,14990.2595121148,830.278986759015,2031.8845523762,-335775015.848316
"697",36,165253,17.263775160932,34343.1342801437,13583.8367264129,1281.63951546124,1791.79603023753,-296082618.09614
"698",36,165253,9.87780132314656,66148.6906173019,14328.9078455654,1809.81625865516,1803.53595588152,-298039723.276153
"699",36,165253,20.8773085311754,31934.4135820406,9189.81706974484,184.436894771451,1963.96183478811,-323165266.653244
"700",36,165253,19.2871984382858,41363.8759944787,13167.4155147554,687.60064826801,1998.87704792325,-329644505.637686
"701",36,165253,2.7609217253048,29048.5003645083,12846.2454939785,185.890609353713,1911.75174594622,-315922195.00164
"702",36,165253,5.94837879678234,53543.4393313976,18143.2845092713,406.741980353822,2113.32500002729,-349198871.010049
"703",36,165253,3.63891609711572,36762.6596123106,5722.62505526729,2211.01493466104,2075.92230911709,-342791881.835139
"704",36,165253,0.34919645448681,44206.2307132813,1413.15415816551,527.208569931408,1950.30689715277,-322294065.675186
"705",36,165253,15.5712402688339,47122.583676684,6748.21966483363,182.246343124775,2051.72736947003,-337955994.011093
"706",36,165253,5.63679084475152,93153.3097235579,12301.3794429066,510.24014222481,1945.93964330957,-321497558.867836
"707",36,165253,17.201509241364,17521.2952209265,9673.44546301657,1068.89001076811,1927.16537730625,-317317382.155907
"708",36,165253,19.797609993536,16529.8408401396,11837.341129339,316.516853077875,1919.79116506321,-317226443.529832
"709",36,165253,19.2589425131446,45751.6713042662,23007.0480013282,230.488745710795,1895.22971388617,-308589199.241376
"710",36,165253,4.08356530405581,66439.2446291732,13052.0170170487,907.383742753238,2042.9369226139,-337549886.666636
"711",36,165253,13.5972232937347,61733.0681315128,15583.5475397952,1160.39558600447,1784.67696690535,-294873091.773256
"712",36,165253,1.16698605658021,95892.7856026711,13505.3738413326,734.228661572635,1794.09281175188,-296250562.447901
"713",36,165253,13.3123206113698,9420.3799738214,3309.16496416937,682.070885026934,1732.13616369161,-286240696.680854
"714",36,165253,19.8255046354607,58005.9773748437,9184.5821128448,1391.90387232696,2056.69017328053,-338850418.464116
"715",36,165253,20.7503547212575,72952.8873336739,17809.6387837765,1850.61757107808,1852.41938694178,-306117833.621251
"716",36,165253,19.6748298748396,37652.270765649,3697.47856448336,1278.84370561998,2046.64514028095,-334338481.35586
"717",36,165253,17.7891792494804,62263.3943437877,13778.7548495344,642.990292868692,2124.47703855529,-350608507.861609
